228k, train_mse: 8.2237006e-05, test1_mse: 8.418275e-05, test2_mse: 4.8085898e-05
229k, train_mse: 7.8046694e-05, test1_mse: 7.906542e-05, test2_mse: 4.4885735e-05
230k, train_mse: 7.892925e-05, test1_mse: 8.1248065e-05, test2_mse: 4.62487e-05
231k, train_mse: 8.097157e-05, test1_mse: 8.278235e-05, test2_mse: 5.072583e-05
232k, train_mse: 7.7977646e-05, test1_mse: 7.965606e-05, test2_mse: 4.6849185e-05
233k, train_mse: 9.121514e-05, test1_mse: 9.381112e-05, test2_mse: 5.1266954e-05
234k, train_mse: 8.1961065e-05, test1_mse: 8.523111e-05, test2_mse: 4.6015375e-05
235k, train_mse: 7.563557e-05, test1_mse: 7.666664e-05, test2_mse: 4.4423217e-05
236k, train_mse: 8.173684e-05, test1_mse: 8.521771e-05, test2_mse: 4.881956e-05
237k, train_mse: 8.4196574e-05, test1_mse: 8.772192e-05, test2_mse: 5.0201957e-05
238k, train_mse: 8.096402e-05, test1_mse: 8.409985e-05, test2_mse: 4.908602e-05
239k, train_mse: 8.8295645e-05, test1_mse: 9.057039e-05, test2_mse: 5.6046567e-05
240k, train_mse: 8.365682e-05, test1_mse: 8.559515e-05, test2_mse: 4.783397e-05
241k, train_mse: 8.082111e-05, test1_mse: 8.289878e-05, test2_mse: 4.880883e-05
242k, train_mse: 8.185599e-05, test1_mse: 8.4352876e-05, test2_mse: 4.7207435e-05
243k, train_mse: 8.2240476e-05, test1_mse: 8.412547e-05, test2_mse: 4.828902e-05
244k, train_mse: 8.644634e-05, test1_mse: 8.937578e-05, test2_mse: 4.9070874e-05
245k, train_mse: 8.5764295e-05, test1_mse: 8.831852e-05, test2_mse: 5.0039624e-05
246k, train_mse: 8.03304e-05, test1_mse: 8.376179e-05, test2_mse: 4.8630613e-05
247k, train_mse: 8.3244435e-05, test1_mse: 8.602265e-05, test2_mse: 4.812352e-05
248k, train_mse: 8.348595e-05, test1_mse: 8.5892185e-05, test2_mse: 4.770773e-05
249k, train_mse: 8.534376e-05, test1_mse: 8.817821e-05, test2_mse: 5.2546573e-05
250k, train_mse: 8.094876e-05, test1_mse: 8.496983e-05, test2_mse: 4.8270536e-05
251k, train_mse: 8.034122e-05, test1_mse: 8.351065e-05, test2_mse: 4.631774e-05
252k, train_mse: 9.1608876e-05, test1_mse: 9.360336e-05, test2_mse: 5.17026e-05
253k, train_mse: 8.5911124e-05, test1_mse: 8.945411e-05, test2_mse: 5.1291267e-05
254k, train_mse: 8.1839076e-05, test1_mse: 8.429782e-05, test2_mse: 4.7591573e-05
255k, train_mse: 8.045357e-05, test1_mse: 8.4248306e-05, test2_mse: 4.7113874e-05
256k, train_mse: 9.538728e-05, test1_mse: 0.00010071461, test2_mse: 5.9217058e-05
257k, train_mse: 7.896013e-05, test1_mse: 7.956903e-05, test2_mse: 4.7313875e-05
258k, train_mse: 7.718117e-05, test1_mse: 8.027401e-05, test2_mse: 4.7178928e-05
259k, train_mse: 7.735278e-05, test1_mse: 8.020105e-05, test2_mse: 4.7506568e-05
260k, train_mse: 8.077178e-05, test1_mse: 8.52944e-05, test2_mse: 4.827424e-05
261k, train_mse: 7.904927e-05, test1_mse: 8.184987e-05, test2_mse: 4.8410096e-05
262k, train_mse: 7.7351695e-05, test1_mse: 7.9133155e-05, test2_mse: 4.629469e-05
263k, train_mse: 7.6652694e-05, test1_mse: 7.909929e-05, test2_mse: 4.6718287e-05
264k, train_mse: 8.443916e-05, test1_mse: 8.719996e-05, test2_mse: 4.8686692e-05
265k, train_mse: 7.53833e-05, test1_mse: 7.814789e-05, test2_mse: 4.468777e-05
266k, train_mse: 7.8342295e-05, test1_mse: 8.143104e-05, test2_mse: 4.775405e-05
267k, train_mse: 8.043804e-05, test1_mse: 8.363616e-05, test2_mse: 4.918895e-05
268k, train_mse: 7.69024e-05, test1_mse: 7.977232e-05, test2_mse: 4.4542594e-05
269k, train_mse: 7.680411e-05, test1_mse: 7.971969e-05, test2_mse: 4.5022563e-05
